21.11.2022,Опубликованы задачи Турнира Ломоносова 2022 года (вместе с решениями).
02.11.2022,Опубликованы задачи олимпиады Шарыгина 2022 года (вместе с решениями).
21.06.2022,Опубликованы задачи осеннего Турнира Городов 2021/22 (вместе с решениями).
09.06.2022,Опубликованы задачи ММО 2022 года (вместе с решениями).
07.04.2022,Опубликованы задачи Математического праздника 2022 года (вместе с решениями).
06.04.2022,Опубликованы задачи олимпиады Шарыгина 2021 года (вместе с решениями).
13.01.2023,Второй отборочный тур Московской олимпиады по физике 
12.04.2023,Заключительный этап ММО 2023 года
